teamInnings,scorecard,battingPos,batsmanName,dismissal,runs,balls,4s,6s,SR
Afghanistan,T20I # 1864,5,Mohammad Nabi(c),c Warner b Hazlewood,1,2,0,0,50.00
Afghanistan,T20I # 1864,6,Najibullah Zadran,c Maxwell b Zampa,0,2,0,0,0.00
Afghanistan,T20I # 1864,7,Darwish Rasooli,run out (†Wade/Stoinis),15,13,1,0,115.38
Afghanistan,T20I # 1864,8,Rashid Khan,not out ,48,23,3,4,208.69
Afghanistan,T20I # 1864,9,Naveen-ul-Haq,not out ,0,0,0,0,-
Sri Lanka,T20I # 1867,1,Pathum Nissanka,c sub (CJ Jordan) b Rashid,67,45,2,5,148.88
Sri Lanka,T20I # 1867,2,Kusal Mendis†,c Livingstone b Woakes,18,14,1,1,128.57
Sri Lanka,T20I # 1867,3,Dhananjaya de Silva,c Stokes b Curran,9,11,0,0,81.81
Sri Lanka,T20I # 1867,4,Charith Asalanka,c Malan b Stokes,8,9,0,0,88.88
Sri Lanka,T20I # 1867,5,Bhanuka Rajapaksa,c Curran b Wood,22,22,3,0,100.00
Sri Lanka,T20I # 1867,6,Dasun Shanaka(c),c †Buttler b Wood,3,8,0,0,37.50
Sri Lanka,T20I # 1867,7,Wanindu Hasaranga de Silva,run out (†Buttler/Wood),9,9,1,0,100.00
Sri Lanka,T20I # 1867,8,Chamika Karunaratne,c Hales b Wood,0,2,0,0,0.00
Sri Lanka,T20I # 1867,9,Maheesh Theekshana,not out ,0,0,0,0,-
England,T20I # 1867,1,Jos Buttler(c)†,c Karunaratne b PWH de Silva,28,23,2,1,121.73
England,T20I # 1867,2,Alex Hales,c & b PWH de Silva,47,30,7,1,156.66
England,T20I # 1867,3,Ben Stokes,not out ,42,36,2,0,116.66
England,T20I # 1867,4,Harry Brook,c & b DM de Silva,4,5,0,0,80.00
England,T20I # 1867,5,Liam Livingstone,c DM de Silva b Kumara,4,6,0,0,66.66
England,T20I # 1867,6,Moeen Ali,c Shanaka b DM de Silva,1,5,0,0,20.00
England,T20I # 1867,7,Sam Curran,c Rajitha b Kumara,6,11,0,0,54.54
England,T20I # 1867,8,Chris Woakes,not out ,5,3,1,0,166.66
Netherlands,T20I # 1871,1,Stephan Myburgh,c Rossouw b Markram,37,30,7,0,123.33
Netherlands,T20I # 1871,2,Max O'Dowd,c Rabada b Maharaj,29,31,1,1,93.54
Netherlands,T20I # 1871,3,Tom Cooper,c †de Kock b Maharaj,35,19,2,2,184.21
Netherlands,T20I # 1871,4,Colin Ackermann,not out ,41,26,3,2,157.69
Netherlands,T20I # 1871,5,Bas de Leede, b Nortje,1,7,0,0,14.28
Netherlands,T20I # 1871,6,Scott Edwards(c)†,not out ,12,7,2,0,171.42
South Africa,T20I # 1871,1,Quinton de Kock†,c †Edwards b Klaassen,13,13,1,1,100.00
South Africa,T20I # 1871,2,Temba Bavuma(c), b van Meekeren,20,20,2,0,100.00
South Africa,T20I # 1871,3,Rilee Rossouw,c O'Dowd b Glover,25,19,2,0,131.57
South Africa,T20I # 1871,4,Aiden Markram,c Myburgh b Klaassen,17,13,2,0,130.76
South Africa,T20I # 1871,5,David Miller,c van der Merwe b Glover,17,17,1,0,100.00
South Africa,T20I # 1871,6,Heinrich Klaasen,c van Beek b de Leede,21,18,0,1,116.66
South Africa,T20I # 1871,7,Wayne Parnell,c †Edwards b Glover,0,2,0,0,0.00
South Africa,T20I # 1871,8,Keshav Maharaj,c O'Dowd b de Leede,13,12,0,1,108.33
South Africa,T20I # 1871,9,Kagiso Rabada,not out ,9,8,0,0,112.50
South Africa,T20I # 1871,10,Anrich Nortje,not out ,4,1,1,0,400.00
Bangladesh,T20I # 1872,1,Najmul Hossain Shanto, b Iftikhar Ahmed,54,48,7,0,112.50
Bangladesh,T20I # 1872,2,Litton Das,c Shan Masood b Shaheen Shah Afridi,10,8,0,1,125.00
Bangladesh,T20I # 1872,3,Soumya Sarkar,c Shan Masood b Shadab Khan,20,17,1,1,117.64
Bangladesh,T20I # 1872,4,Shakib Al Hasan(c),lbw b Shadab Khan,0,1,0,0,0.00
Bangladesh,T20I # 1872,5,Afif Hossain,not out ,24,20,3,0,120.00
Bangladesh,T20I # 1872,6,Mosaddek Hossain, b Shaheen Shah Afridi,5,11,0,0,45.45
Bangladesh,T20I # 1872,7,Nurul Hasan†,c Mohammad Haris b Shaheen Shah Afridi,0,3,0,0,0.00
Bangladesh,T20I # 1872,8,Taskin Ahmed,c Babar Azam b Shaheen Shah Afridi,1,5,0,0,20.00
Bangladesh,T20I # 1872,9,Nasum Ahmed,c Mohammad Wasim b Haris Rauf,7,6,1,0,116.66
Bangladesh,T20I # 1872,10,Mustafizur Rahman,not out ,0,1,0,0,0.00
Pakistan,T20I # 1872,1,Mohammad Rizwan†,c Najmul Hossain Shanto b Ebadot Hossain,32,32,2,1,100.00
Pakistan,T20I # 1872,2,Babar Azam(c),c Mustafizur Rahman b Nasum Ahmed,25,33,2,0,75.75
Pakistan,T20I # 1872,3,Mohammad Nawaz,run out (Litton Das),4,11,0,0,36.36
Pakistan,T20I # 1872,4,Mohammad Haris,c Nasum Ahmed b Shakib Al Hasan,31,18,1,2,172.22
Pakistan,T20I # 1872,5,Shan Masood,not out ,24,14,2,0,171.42
Pakistan,T20I # 1872,6,Iftikhar Ahmed,c Najmul Hossain Shanto b Mustafizur Rahman,1,3,0,0,33.33
Pakistan,T20I # 1872,7,Shadab Khan,not out ,0,0,0,0,-
India,T20I # 1873,1,KL Rahul,c Masakadza b Sikandar Raza,51,35,3,3,145.71
India,T20I # 1873,2,Rohit Sharma(c),c Masakadza b Muzarabani,15,13,2,0,115.38
India,T20I # 1873,3,Virat Kohli,c Burl b Williams,26,25,2,0,104.00
India,T20I # 1873,4,Suryakumar Yadav,not out ,61,25,6,4,244.00
India,T20I # 1873,5,Rishabh Pant†,c Burl b Williams,3,5,0,0,60.00
India,T20I # 1873,6,Hardik Pandya,c Muzarabani b Ngarava,18,18,2,0,100.00
India,T20I # 1873,7,Axar Patel,not out ,0,0,0,0,-
Zimbabwe,T20I # 1873,1,Wessly Madhevere,c Kohli b Kumar,0,1,0,0,0.00
Zimbabwe,T20I # 1873,2,Craig Ervine(c),c & b Pandya,13,15,2,0,86.66
Zimbabwe,T20I # 1873,3,Regis Chakabva†, b Arshdeep Singh,0,6,0,0,0.00
Zimbabwe,T20I # 1873,4,Sean Williams,c Kumar b Mohammed Shami,11,18,0,1,61.11
Zimbabwe,T20I # 1873,5,Sikandar Raza,c Yadav b Pandya,34,24,3,0,141.66
Zimbabwe,T20I # 1873,6,Tony Munyonga,lbw b Mohammed Shami,5,4,1,0,125.00
Zimbabwe,T20I # 1873,7,Ryan Burl, b Ashwin,35,22,5,1,159.09
Zimbabwe,T20I # 1873,8,Wellington Masakadza,c Sharma b Ashwin,1,7,0,0,14.28
Zimbabwe,T20I # 1873,9,Richard Ngarava, b Ashwin,1,2,0,0,50.00
Zimbabwe,T20I # 1873,10,Tendai Chatara,c & b Patel,4,4,1,0,100.00
Zimbabwe,T20I # 1873,11,Blessing Muzarabani,not out ,0,2,0,0,0.00
New Zealand,T20I # 1877,1,Finn Allen,lbw b Shaheen Shah Afridi,4,3,1,0,133.33
New Zealand,T20I # 1877,2,Devon Conway†,run out (Shadab Khan),21,20,3,0,105.00
New Zealand,T20I # 1877,3,Kane Williamson(c), b Shaheen Shah Afridi,46,42,1,1,109.52
New Zealand,T20I # 1877,4,Glenn Phillips,c & b Mohammad Nawaz,6,8,1,0,75.00
New Zealand,T20I # 1877,5,Daryl Mitchell,not out ,53,35,3,1,151.42
New Zealand,T20I # 1877,6,James Neesham,not out ,16,12,1,0,133.33
Pakistan,T20I # 1877,1,Mohammad Rizwan†,c Phillips b Boult,57,43,5,0,132.55
Pakistan,T20I # 1877,2,Babar Azam(c),c Mitchell b Boult,53,42,7,0,126.19
Pakistan,T20I # 1877,3,Mohammad Haris,c Allen b Santner,30,26,2,1,115.38
Pakistan,T20I # 1877,4,Shan Masood,not out ,3,4,0,0,75.00
Pakistan,T20I # 1877,5,Iftikhar Ahmed,not out ,0,0,0,0,-
India,T20I # 1878,1,KL Rahul,c †Buttler b Woakes,5,5,1,0,100.00
India,T20I # 1878,2,Rohit Sharma(c),c Curran b Jordan,27,28,4,0,96.42
India,T20I # 1878,3,Virat Kohli,c Rashid b Jordan,50,40,4,1,125.00
India,T20I # 1878,4,Suryakumar Yadav,c Salt b Rashid,14,10,1,1,140.00
India,T20I # 1878,5,Hardik Pandya,hit wicket b Jordan,63,33,4,5,190.90
India,T20I # 1878,6,Rishabh Pant†,run out (†Buttler/Jordan),6,4,1,0,150.00
India,T20I # 1878,7,Ravichandran Ashwin,not out ,0,0,0,0,-
England,T20I # 1878,1,Jos Buttler(c)†,not out ,80,49,9,3,163.26
England,T20I # 1878,2,Alex Hales,not out ,86,47,4,7,182.97
Pakistan,T20I # 1879,1,Mohammad Rizwan†, b Curran,15,14,0,1,107.14
Pakistan,T20I # 1879,2,Babar Azam(c),c & b Rashid,32,28,2,0,114.28
Pakistan,T20I # 1879,3,Mohammad Haris,c Stokes b Rashid,8,12,1,0,66.66
Pakistan,T20I # 1879,4,Shan Masood,c Livingstone b Curran,38,28,2,1,135.71
Pakistan,T20I # 1879,5,Iftikhar Ahmed,c †Buttler b Stokes,0,6,0,0,0.00
Pakistan,T20I # 1879,6,Shadab Khan,c Woakes b Jordan,20,14,2,0,142.85
Pakistan,T20I # 1879,7,Mohammad Nawaz,c Livingstone b Curran,5,7,0,0,71.42
Pakistan,T20I # 1879,8,Mohammad Wasim,c Livingstone b Jordan,4,8,0,0,50.00
Pakistan,T20I # 1879,9,Shaheen Shah Afridi,not out ,5,3,1,0,166.66
Pakistan,T20I # 1879,10,Haris Rauf,not out ,1,1,0,0,100.00
England,T20I # 1879,1,Jos Buttler(c)†,c †Mohammad Rizwan b Haris Rauf,26,17,3,1,152.94
England,T20I # 1879,2,Alex Hales, b Shaheen Shah Afridi,1,2,0,0,50.00
England,T20I # 1879,3,Phil Salt,c Iftikhar Ahmed b Haris Rauf,10,9,2,0,111.11
England,T20I # 1879,4,Ben Stokes,not out ,52,49,5,1,106.12
England,T20I # 1879,5,Harry Brook,c Shaheen Shah Afridi b Shadab Khan,20,23,1,0,86.95
England,T20I # 1879,6,Moeen Ali, b Mohammad Wasim,19,13,3,0,146.15
England,T20I # 1879,7,Liam Livingstone,not out ,1,1,0,0,100.00
